path,bytes,sha256,present,tracked_before_snapshot,content_review
.gitattributes,176,ddba2be2230a83d97cb3bf3e327dc8d3c29651866e1e4eb82cf38fccfe266e02,True,True,not_implied_by_inventory
.gitignore,26,4cad133d4f0a6cf4bba15f1b8bbae48d6a55f20b94f75487c51a93cc6a5af59f,True,True,not_implied_by_inventory
00-当前研究/README.md,1170,7ee890bb2e0fa5b990885f0df23f4068314d44f83c6ccfd64ebea9856462e8dc,True,True,not_implied_by_inventory
00-当前研究/data_review/README.md,704,117306d876581f2047a638bb40a6ddb178e80a9dcd061610854dfaabedc6aaf1,True,True,not_implied_by_inventory
00-当前研究/data_review/activity_review.csv,213352,256f94183e94f7057930c8a83994184f85bde1991f3b2cd5559abc0feac40f58,True,True,not_implied_by_inventory
00-当前研究/data_review/np_identity_review.csv,10719,4d16de164bba0a022abbb6f2fa9e89b23c88ce652ba50e814fc9ee86b439786e,True,True,not_implied_by_inventory
00-当前研究/requirements-validated.txt,232,fd82f81a8523a95d6850cf01a5170d2d3e760545b7ee945e1caf28d5290656a0,True,True,not_implied_by_inventory
00-当前研究/run_diagnostics.py,6706,6d6eff9a0357d6902160c5d23b6e711a6d940fdbcd7f24fd695fc359c6fd38ce,True,True,not_implied_by_inventory
00-当前研究/src/methods.py,3603,3d9e18c0e9f40a8c0692c91c3cd3758c7ea5315462f2fa80d5d8693123b73e99,True,True,not_implied_by_inventory
00-当前研究/update_inventory.py,2003,a42fad40521d63451c163ba60534df5b128a3647abc635249eb53874cad9c080,True,True,not_implied_by_inventory
00-当前研究/validate_docking.py,4667,d8c63f7555166ffdbd05290598b034ef1c088742f8784e2d83a3e1b8ac0e9793,True,True,not_implied_by_inventory
00-当前研究/validation/20260905/FASN_RF_diagnostic_test.csv,6426,2e7dee70683f8960cde30e150a0415b763eac4ee15db2f143880b67bafe603c3,True,True,not_implied_by_inventory
00-当前研究/validation/20260905/FASN_diagnostic_split.csv,108737,ec5d4ecb1f1d31c11b5109208afe0a48bab64f6fa3f7f3962ab962a4afabb24e,True,True,not_implied_by_inventory
00-当前研究/validation/20260905/GSE48452_welch_diagnostic.csv,1375676,120f20d8a378ecceaac8de3069c9343f98ce23d703abfb3feabf1e3654ad2968,True,True,not_implied_by_inventory
00-当前研究/validation/20260905/GSE63067_welch_diagnostic.csv,1510571,13f0fa2e17829743c8aa1e9a6dcc4ff4b22a4bdac3f7de27f747eda946938242,True,True,not_implied_by_inventory
00-当前研究/validation/20260905/SCD1_RF_diagnostic_test.csv,1277,05bec7afba2d3b516a779f9109d99b3af95a8de03df6df03e50021e86e9f4eb3,True,True,not_implied_by_inventory
00-当前研究/validation/20260905/SCD1_diagnostic_split.csv,19049,8f38b1cdf0ef028da678113e3b191bce7e64c53c9d6e2808462f43c20ccdb018,True,True,not_implied_by_inventory
00-当前研究/validation/20260905/THRB_RF_diagnostic_test.csv,2101,b09c8a3ea7b8ca4de6c6cc8129a77fc060cea68d2b5d11e08d8ff8a54a70abe4,True,True,not_implied_by_inventory
00-当前研究/validation/20260905/THRB_diagnostic_split.csv,32545,36d94f6337157809cbc45e5e9ab5aa68c6af434ae9db16e7a0b7ac724be992d8,True,True,not_implied_by_inventory
00-当前研究/validation/20260905/diagnostic_summary.json,6001,82792878fa2ffc9711773454da677c04fa11be79f978c7e013a6ff2b9102221d,True,True,not_implied_by_inventory
00-当前研究/validation/20260905/welch_meta_diagnostic.csv,1110904,53823ee4960e756d664f582529535b5aa279be142aa2adce463c4cfc32801e9d,True,True,not_implied_by_inventory
00-当前研究/validation/README.md,594,cbb6643f3155911fed818902b6cdc107a8a37cc6bd6f01cd23129aa432d1bc5a,True,True,not_implied_by_inventory
00-当前研究/validation/redock_corrected_20260905/FASN.log,2259,87e307278149ca36a4536f78038e9e42e00f3024a84d645b268a3985e5e1abac,True,True,not_implied_by_inventory
00-当前研究/validation/redock_corrected_20260905/FASN_corrected_crystal.sdf,4193,697ad5f376cddd4443ce4e6621d06db39056a5c82605f05c4c25b07fe728b710,True,True,not_implied_by_inventory
00-当前研究/validation/redock_corrected_20260905/FASN_initial.pdbqt,2738,16639320aaaf190ce77469a7645ad0d1787bd4189ccd1a055006708c42af9fb8,True,True,not_implied_by_inventory
00-当前研究/validation/redock_corrected_20260905/FASN_pose.pdbqt,27135,044eeb3b9f8ddd35dbb85e8e6cdd7cc7de5727b54322213124c767147b9d2660,True,True,not_implied_by_inventory
00-当前研究/validation/redock_corrected_20260905/THRB.log,2258,b65adc1e466e15fcabe902f52ed59eaab5e86595f2bcede333ad77a2c3bdbb1b,True,True,not_implied_by_inventory
00-当前研究/validation/redock_corrected_20260905/THRB_corrected_crystal.sdf,3669,cd087e4830f6ca92889e766f1e63987f2f04a02ad8316aac1b3179a81517e564,True,True,not_implied_by_inventory
00-当前研究/validation/redock_corrected_20260905/THRB_initial.pdbqt,2681,a854a4ae4f0965422ee249175fd0b5646028fda4bfbf7d6c03ede74256ecc0ba,True,True,not_implied_by_inventory
00-当前研究/validation/redock_corrected_20260905/THRB_pose.pdbqt,5918,49ff47af1ec2e40a7d18364164f1611704d6606c529d0e2e71c574e7ecbf673d,True,True,not_implied_by_inventory
00-当前研究/validation/redock_corrected_20260905/redock_diagnostic.json,3491,a8d2577fda7de606535e297443a5930a2b34f6bf547c7215928b57f34122d284,True,True,not_implied_by_inventory
00-当前研究/validation/software_checks.json,981,5acc8c7abd643e5df9d3bc4f05bf36e681d97a6a783699406edb8869d9c9f92e,True,True,not_implied_by_inventory
